Time	HighH	HighM	HighL	MiddleH	MiddleM	MiddleL	LowH	LowM	LowL	Tot
40.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1800.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	0.0238	0.0064	0.0127
3602.0000	0.0000	0.0000	0.0000	0.1250	0.0000	0.0000	0.0594	0.0536	0.0192	0.0350
5400.0000	0.0000	0.0000	0.0000	0.0833	0.2500	0.0000	0.0921	0.0637	0.0236	0.0499
7200.0000	0.0000	0.0000	0.0000	0.2500	0.2963	0.1154	0.1188	0.0567	0.0421	0.0695
9000.0000	0.0000	0.0000	0.0000	0.4500	0.3529	0.2154	0.1457	0.0716	0.0532	0.0913
10800.0000	0.0000	1.0000	0.0000	0.5417	0.4250	0.2727	0.1902	0.1036	0.0753	0.1233
12600.0000	1.0000	1.0000	0.0000	0.5517	0.4255	0.2889	0.2394	0.1158	0.0876	0.1419
14406.0000	1.0000	0.5000	0.0000	0.6250	0.3889	0.2772	0.2604	0.1373	0.0862	0.1497
16205.0000	1.0000	0.5000	0.2500	0.6216	0.4426	0.3391	0.2932	0.1592	0.1001	0.1718
18010.0000	1.0000	1.0000	0.4000	0.6829	0.4559	0.3566	0.3254	0.2062	0.1146	0.1990
19808.0000	1.0000	0.6667	0.4000	0.6667	0.4933	0.4255	0.3441	0.2223	0.1175	0.2109
21607.0000	1.0000	0.6667	0.8000	0.7347	0.5185	0.4675	0.3727	0.2416	0.1346	0.2327
23406.0000	1.0000	0.6667	0.8333	0.7358	0.5114	0.4970	0.4127	0.2459	0.1431	0.2457
25202.0000	1.0000	0.6667	1.0000	0.7759	0.5368	0.4889	0.4437	0.2675	0.1517	0.2617
27009.0000	1.0000	0.5000	0.8571	0.7581	0.5882	0.4922	0.4671	0.2949	0.1613	0.2781
28806.0000	1.0000	0.7500	0.8571	0.7576	0.6055	0.5171	0.4969	0.3102	0.1743	0.2948
30608.0000	1.0000	0.7500	0.8571	0.7571	0.6293	0.5275	0.5116	0.3193	0.1849	0.3058
32402.0000	1.0000	0.6000	0.7500	0.7703	0.6557	0.5435	0.5203	0.3325	0.1974	0.3181
34204.0000	0.6667	0.8000	0.7500	0.8077	0.6822	0.5455	0.5363	0.3434	0.2072	0.3295
