Time			Type			Success
40.0000			HighH			0.0000
40.0000			HighM			0.0000
40.0000			HighL			0.0000
40.0000			MiddleH			0.0000
40.0000			MiddleM			0.0000
40.0000			MiddleL			0.0000
40.0000			LowH			0.0000
40.0000			LowM			0.0000
40.0000			LowL			0.0000
40.0000			tot			0.0000
1800.0000			HighH			0.0000
1800.0000			HighM			0.0000
1800.0000			HighL			0.0000
1800.0000			MiddleH			0.0000
1800.0000			MiddleM			0.0000
1800.0000			MiddleL			0.0000
1800.0000			LowH			0.0200
1800.0000			LowM			0.0238
1800.0000			LowL			0.0064
1800.0000			tot			0.0127
3602.0000			HighH			0.0000
3602.0000			HighM			0.0000
3602.0000			HighL			0.0000
3602.0000			MiddleH			0.1250
3602.0000			MiddleM			0.0000
3602.0000			MiddleL			0.0000
3602.0000			LowH			0.0594
3602.0000			LowM			0.0536
3602.0000			LowL			0.0192
3602.0000			tot			0.0350
5400.0000			HighH			0.0000
5400.0000			HighM			0.0000
5400.0000			HighL			0.0000
5400.0000			MiddleH			0.0833
5400.0000			MiddleM			0.2500
5400.0000			MiddleL			0.0000
5400.0000			LowH			0.0921
5400.0000			LowM			0.0637
5400.0000			LowL			0.0236
5400.0000			tot			0.0499
7200.0000			HighH			0.0000
7200.0000			HighM			0.0000
7200.0000			HighL			0.0000
7200.0000			MiddleH			0.2500
7200.0000			MiddleM			0.2963
7200.0000			MiddleL			0.1154
7200.0000			LowH			0.1188
7200.0000			LowM			0.0567
7200.0000			LowL			0.0421
7200.0000			tot			0.0695
9000.0000			HighH			0.0000
9000.0000			HighM			0.0000
9000.0000			HighL			0.0000
9000.0000			MiddleH			0.4500
9000.0000			MiddleM			0.3529
9000.0000			MiddleL			0.2154
9000.0000			LowH			0.1457
9000.0000			LowM			0.0716
9000.0000			LowL			0.0532
9000.0000			tot			0.0913
10800.0000			HighH			0.0000
10800.0000			HighM			1.0000
10800.0000			HighL			0.0000
10800.0000			MiddleH			0.5417
10800.0000			MiddleM			0.4250
10800.0000			MiddleL			0.2727
10800.0000			LowH			0.1902
10800.0000			LowM			0.1036
10800.0000			LowL			0.0753
10800.0000			tot			0.1233
12600.0000			HighH			1.0000
12600.0000			HighM			1.0000
12600.0000			HighL			0.0000
12600.0000			MiddleH			0.5517
12600.0000			MiddleM			0.4255
12600.0000			MiddleL			0.2889
12600.0000			LowH			0.2394
12600.0000			LowM			0.1158
12600.0000			LowL			0.0876
12600.0000			tot			0.1419
14406.0000			HighH			1.0000
14406.0000			HighM			0.5000
14406.0000			HighL			0.0000
14406.0000			MiddleH			0.6250
14406.0000			MiddleM			0.3889
14406.0000			MiddleL			0.2772
14406.0000			LowH			0.2604
14406.0000			LowM			0.1373
14406.0000			LowL			0.0862
14406.0000			tot			0.1497
16205.0000			HighH			1.0000
16205.0000			HighM			0.5000
16205.0000			HighL			0.2500
16205.0000			MiddleH			0.6216
16205.0000			MiddleM			0.4426
16205.0000			MiddleL			0.3391
16205.0000			LowH			0.2932
16205.0000			LowM			0.1592
16205.0000			LowL			0.1001
16205.0000			tot			0.1718
18010.0000			HighH			1.0000
18010.0000			HighM			1.0000
18010.0000			HighL			0.4000
18010.0000			MiddleH			0.6829
18010.0000			MiddleM			0.4559
18010.0000			MiddleL			0.3566
18010.0000			LowH			0.3254
18010.0000			LowM			0.2062
18010.0000			LowL			0.1146
18010.0000			tot			0.1990
19808.0000			HighH			1.0000
19808.0000			HighM			0.6667
19808.0000			HighL			0.4000
19808.0000			MiddleH			0.6667
19808.0000			MiddleM			0.4933
19808.0000			MiddleL			0.4255
19808.0000			LowH			0.3441
19808.0000			LowM			0.2223
19808.0000			LowL			0.1175
19808.0000			tot			0.2109
21607.0000			HighH			1.0000
21607.0000			HighM			0.6667
21607.0000			HighL			0.8000
21607.0000			MiddleH			0.7347
21607.0000			MiddleM			0.5185
21607.0000			MiddleL			0.4675
21607.0000			LowH			0.3727
21607.0000			LowM			0.2416
21607.0000			LowL			0.1346
21607.0000			tot			0.2327
23406.0000			HighH			1.0000
